country,vcr,temperature
Albania,0.4031955559120821,16.18624331706183
Bulgaria,0.40682667879065637,10.902391062012303
Denmark,0.3619942809430777,8.55713718698131
Greece,0.4668211931683274,18.47486439195101
Croatia,0.4224613154412451,12.451656013212803
Iceland,0.3572066030897163,5.290311909831236
Latvia,0.36582676185141605,7.426260537232562
Macedonia,0.4187651996172802,12.632174143561194
The Netherlands,0.393943940696888,10.724838795053175
Norway,0.36585193807423805,5.444085049156
Portugal,0.43567630851823774,17.014030458565266
Sweden,0.35393106432395544,7.560284968169731
Ukraine,0.3824789105196478,8.984116670276514
Romania,0.4287237242508451,11.577622604741798
France,0.4329300292543634,12.988705209274316
United Kingdom,0.38420542657601076,10.96601356806324
Poland,0.39579913642790776,9.029353736586309
Germany,0.36337866368219085,9.966953613438989
Spain,0.45969195892595927,15.533389065306645
Italy,0.4483130076673027,14.292362201408814
Russia,0.4203046246859828,7.647454989401378
